network_method	network_db	network_cutoff	experiment_info	module	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	P	N	tp	fp	fn	tn	tot_pop_valid	MCC	pval_rank	go_slim_pir	genes	row_rank_p	row_rank_mcc	top_go	top_kegg	top_reac
M1	string	0.6	network_modules	1	TRUE	2.591723825898161e-37	43	44	21	0.4772727272727273	0.4883720930232558	KEGG:03022	KEGG	Basal transcription factors	8484	213		0	0.01639344262295082	43	8441	21	23	22	8418	8484	0.48012530118401514	1	GO:0065003;GO:0050789;GO:0006351	ENSG00000165417;ENSG00000164938;ENSG00000108773;ENSG00000196367;ENSG00000071564;ENSG00000112592;ENSG00000066136;ENSG00000120837;ENSG00000001167;ENSG00000070495;ENSG00000179583;ENSG00000120690;ENSG00000135111;ENSG00000163132;ENSG00000028839;ENSG00000138398;ENSG00000124422;ENSG00000117505;ENSG00000163635;ENSG00000158773;ENSG00000160305;ENSG00000134046;ENSG00000171148;ENSG00000107223;ENSG00000197780;ENSG00000057935;ENSG00000064995;ENSG00000176476;ENSG00000151332;ENSG00000115750;ENSG00000120656;ENSG00000130699;ENSG00000142599;ENSG00000173848;ENSG00000132274;ENSG00000178913;ENSG00000173011;ENSG00000163884;ENSG00000162227;ENSG00000145414;ENSG00000158161;ENSG00000102710;ENSG00000166337;ENSG00000205323;ENSG00000147133;ENSG00000187325;ENSG00000149474;ENSG00000138434;ENSG00000126524;ENSG00000164442;ENSG00000171295;ENSG00000138231;ENSG00000135801;ENSG00000184486;ENSG00000102387;ENSG00000198563;ENSG00000090615;ENSG00000116852;ENSG00000124766;ENSG00000036549;ENSG00000087152;ENSG00000120533;ENSG00000100219;ENSG00000064313;ENSG00000165632;ENSG00000143498;ENSG00000118526;ENSG00000137413;ENSG00000106290;ENSG00000103168;ENSG00000148835;ENSG00000145592;ENSG00000116254;ENSG00000163795;ENSG00000163872;ENSG00000163673;ENSG00000064687;ENSG00000137877;ENSG00000196284;ENSG00000119760;ENSG00000152382;ENSG00000048405;ENSG00000095574;ENSG00000134595;ENSG00000141384;ENSG00000111046;ENSG00000182521;ENSG00000168303;ENSG00000205857;ENSG00000156453;ENSG00000174332	1	1	-	KEGG:03022	-
M1	string	0.6	network_modules	1	TRUE	2.0141163891881102e-25	67	85	19	0.2235294117647059	0.2835820895522388	GO:0070897	GO:BP	transcription preinitiation complex assembly	16175	16360		0.016666666666666666	0.03278688524590164	67	16108	19	66	48	16042	16175	0.24827262574222983	2	GO:0065003;GO:0050789;GO:0006351	ENSG00000165417;ENSG00000164938;ENSG00000108773;ENSG00000196367;ENSG00000071564;ENSG00000112592;ENSG00000066136;ENSG00000120837;ENSG00000001167;ENSG00000070495;ENSG00000179583;ENSG00000120690;ENSG00000135111;ENSG00000163132;ENSG00000028839;ENSG00000138398;ENSG00000124422;ENSG00000117505;ENSG00000163635;ENSG00000158773;ENSG00000160305;ENSG00000134046;ENSG00000171148;ENSG00000107223;ENSG00000197780;ENSG00000057935;ENSG00000064995;ENSG00000176476;ENSG00000151332;ENSG00000115750;ENSG00000120656;ENSG00000130699;ENSG00000142599;ENSG00000173848;ENSG00000132274;ENSG00000178913;ENSG00000173011;ENSG00000163884;ENSG00000162227;ENSG00000145414;ENSG00000158161;ENSG00000102710;ENSG00000166337;ENSG00000205323;ENSG00000147133;ENSG00000187325;ENSG00000149474;ENSG00000138434;ENSG00000126524;ENSG00000164442;ENSG00000171295;ENSG00000138231;ENSG00000135801;ENSG00000184486;ENSG00000102387;ENSG00000198563;ENSG00000090615;ENSG00000116852;ENSG00000124766;ENSG00000036549;ENSG00000087152;ENSG00000120533;ENSG00000100219;ENSG00000064313;ENSG00000165632;ENSG00000143498;ENSG00000118526;ENSG00000137413;ENSG00000106290;ENSG00000103168;ENSG00000148835;ENSG00000145592;ENSG00000116254;ENSG00000163795;ENSG00000163872;ENSG00000163673;ENSG00000064687;ENSG00000137877;ENSG00000196284;ENSG00000119760;ENSG00000152382;ENSG00000048405;ENSG00000095574;ENSG00000134595;ENSG00000141384;ENSG00000111046;ENSG00000182521;ENSG00000168303;ENSG00000205857;ENSG00000156453;ENSG00000174332	1	1	GO:0070897	-	-
M1	string	0.6	network_modules	1	TRUE	4.55819871370602e-22	46	70	16	0.22857142857142856	0.34782608695652173	REAC:R-HSA-167161	REAC	HIV Transcription Initiation	10916	1105		0.08333333333333333	0.18032786885245902	46	10870	16	54	30	10816	10916	0.2782431729129599	8.5	GO:0065003;GO:0050789;GO:0006351	ENSG00000165417;ENSG00000164938;ENSG00000108773;ENSG00000196367;ENSG00000071564;ENSG00000112592;ENSG00000066136;ENSG00000120837;ENSG00000001167;ENSG00000070495;ENSG00000179583;ENSG00000120690;ENSG00000135111;ENSG00000163132;ENSG00000028839;ENSG00000138398;ENSG00000124422;ENSG00000117505;ENSG00000163635;ENSG00000158773;ENSG00000160305;ENSG00000134046;ENSG00000171148;ENSG00000107223;ENSG00000197780;ENSG00000057935;ENSG00000064995;ENSG00000176476;ENSG00000151332;ENSG00000115750;ENSG00000120656;ENSG00000130699;ENSG00000142599;ENSG00000173848;ENSG00000132274;ENSG00000178913;ENSG00000173011;ENSG00000163884;ENSG00000162227;ENSG00000145414;ENSG00000158161;ENSG00000102710;ENSG00000166337;ENSG00000205323;ENSG00000147133;ENSG00000187325;ENSG00000149474;ENSG00000138434;ENSG00000126524;ENSG00000164442;ENSG00000171295;ENSG00000138231;ENSG00000135801;ENSG00000184486;ENSG00000102387;ENSG00000198563;ENSG00000090615;ENSG00000116852;ENSG00000124766;ENSG00000036549;ENSG00000087152;ENSG00000120533;ENSG00000100219;ENSG00000064313;ENSG00000165632;ENSG00000143498;ENSG00000118526;ENSG00000137413;ENSG00000106290;ENSG00000103168;ENSG00000148835;ENSG00000145592;ENSG00000116254;ENSG00000163795;ENSG00000163872;ENSG00000163673;ENSG00000064687;ENSG00000137877;ENSG00000196284;ENSG00000119760;ENSG00000152382;ENSG00000048405;ENSG00000095574;ENSG00000134595;ENSG00000141384;ENSG00000111046;ENSG00000182521;ENSG00000168303;ENSG00000205857;ENSG00000156453;ENSG00000174332	2	1	-	-	REAC:R-HSA-167161
M1	string	0.6	network_modules	2	TRUE	2.4124719040048905e-127	287	87	78	0.896551724137931	0.27177700348432055	GO:0000377	GO:BP	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	16175	109		0	0.03773584905660377	287	15888	78	9	209	15879	16175	0.4895211601132884	1.5	GO:0065003;GO:0016070;GO:0000375	ENSG00000136450;ENSG00000124006;ENSG00000159140;ENSG00000077312;ENSG00000100941;ENSG00000143977;ENSG00000100603;ENSG00000112739;ENSG00000164548;ENSG00000169976;ENSG00000139343;ENSG00000060688;ENSG00000189091;ENSG00000125870;ENSG00000054118;ENSG00000110107;ENSG00000177463;ENSG00000171566;ENSG00000135250;ENSG00000087365;ENSG00000113649;ENSG00000116754;ENSG00000108883;ENSG00000112081;ENSG00000167978;ENSG00000124193;ENSG00000141543;ENSG00000150459;ENSG00000168438;ENSG00000277104;ENSG00000044090;ENSG00000104897;ENSG00000007392;ENSG00000143368;ENSG00000115128;ENSG00000076924;ENSG00000125835;ENSG00000100650;ENSG00000084072;ENSG00000120688;ENSG00000196504;ENSG00000096063;ENSG00000161547;ENSG00000115524;ENSG00000109606;ENSG00000158545;ENSG00000063244;ENSG00000175467;ENSG00000100028;ENSG00000144028;ENSG00000174243;ENSG00000086589;ENSG00000183431;ENSG00000240682;ENSG00000131876;ENSG00000188529;ENSG00000119707;ENSG00000178691;ENSG00000100813;ENSG00000153914;ENSG00000136527;ENSG00000021776;ENSG00000125743;ENSG00000067596;ENSG00000168883;ENSG00000115875;ENSG00000182004;ENSG00000101161;ENSG00000163877;ENSG00000205937;ENSG00000117360;ENSG00000169217;ENSG00000116560;ENSG00000104852;ENSG00000099995;ENSG00000096401;ENSG00000162385;ENSG00000089280;ENSG00000128739;ENSG00000101343;ENSG00000100410;ENSG00000167088;ENSG00000130520;ENSG00000116752;ENSG00000116350;ENSG00000133226;ENSG00000136875;ENSG00000131051;ENSG00000176046	1	1	GO:0000377	-	-
M1	string	0.6	network_modules	2	TRUE	1.596760300515559e-120	202	81	73	0.9012345679012346	0.3613861386138614	REAC:R-HSA-72163	REAC	mRNA Splicing - Major Pathway	10916	2707		0.09615384615384616	0.11320754716981132	202	10714	73	8	129	10706	10916	0.5663276592815533	6	GO:0065003;GO:0016070;GO:0000375	ENSG00000136450;ENSG00000124006;ENSG00000159140;ENSG00000077312;ENSG00000100941;ENSG00000143977;ENSG00000100603;ENSG00000112739;ENSG00000164548;ENSG00000169976;ENSG00000139343;ENSG00000060688;ENSG00000189091;ENSG00000125870;ENSG00000054118;ENSG00000110107;ENSG00000177463;ENSG00000171566;ENSG00000135250;ENSG00000087365;ENSG00000113649;ENSG00000116754;ENSG00000108883;ENSG00000112081;ENSG00000167978;ENSG00000124193;ENSG00000141543;ENSG00000150459;ENSG00000168438;ENSG00000277104;ENSG00000044090;ENSG00000104897;ENSG00000007392;ENSG00000143368;ENSG00000115128;ENSG00000076924;ENSG00000125835;ENSG00000100650;ENSG00000084072;ENSG00000120688;ENSG00000196504;ENSG00000096063;ENSG00000161547;ENSG00000115524;ENSG00000109606;ENSG00000158545;ENSG00000063244;ENSG00000175467;ENSG00000100028;ENSG00000144028;ENSG00000174243;ENSG00000086589;ENSG00000183431;ENSG00000240682;ENSG00000131876;ENSG00000188529;ENSG00000119707;ENSG00000178691;ENSG00000100813;ENSG00000153914;ENSG00000136527;ENSG00000021776;ENSG00000125743;ENSG00000067596;ENSG00000168883;ENSG00000115875;ENSG00000182004;ENSG00000101161;ENSG00000163877;ENSG00000205937;ENSG00000117360;ENSG00000169217;ENSG00000116560;ENSG00000104852;ENSG00000099995;ENSG00000096401;ENSG00000162385;ENSG00000089280;ENSG00000128739;ENSG00000101343;ENSG00000100410;ENSG00000167088;ENSG00000130520;ENSG00000116752;ENSG00000116350;ENSG00000133226;ENSG00000136875;ENSG00000131051;ENSG00000176046	1	1	-	-	REAC:R-HSA-72163
M1	string	0.6	network_modules	2	TRUE	1.1299547008690023e-100	174	71	63	0.8873239436619719	0.3620689655172414	KEGG:03040	KEGG	Spliceosome	8484	215		0.17307692307692307	0.18867924528301888	174	8310	63	8	111	8302	8484	0.5618308033416773	10	GO:0065003;GO:0016070;GO:0000375	ENSG00000136450;ENSG00000124006;ENSG00000159140;ENSG00000077312;ENSG00000100941;ENSG00000143977;ENSG00000100603;ENSG00000112739;ENSG00000164548;ENSG00000169976;ENSG00000139343;ENSG00000060688;ENSG00000189091;ENSG00000125870;ENSG00000054118;ENSG00000110107;ENSG00000177463;ENSG00000171566;ENSG00000135250;ENSG00000087365;ENSG00000113649;ENSG00000116754;ENSG00000108883;ENSG00000112081;ENSG00000167978;ENSG00000124193;ENSG00000141543;ENSG00000150459;ENSG00000168438;ENSG00000277104;ENSG00000044090;ENSG00000104897;ENSG00000007392;ENSG00000143368;ENSG00000115128;ENSG00000076924;ENSG00000125835;ENSG00000100650;ENSG00000084072;ENSG00000120688;ENSG00000196504;ENSG00000096063;ENSG00000161547;ENSG00000115524;ENSG00000109606;ENSG00000158545;ENSG00000063244;ENSG00000175467;ENSG00000100028;ENSG00000144028;ENSG00000174243;ENSG00000086589;ENSG00000183431;ENSG00000240682;ENSG00000131876;ENSG00000188529;ENSG00000119707;ENSG00000178691;ENSG00000100813;ENSG00000153914;ENSG00000136527;ENSG00000021776;ENSG00000125743;ENSG00000067596;ENSG00000168883;ENSG00000115875;ENSG00000182004;ENSG00000101161;ENSG00000163877;ENSG00000205937;ENSG00000117360;ENSG00000169217;ENSG00000116560;ENSG00000104852;ENSG00000099995;ENSG00000096401;ENSG00000162385;ENSG00000089280;ENSG00000128739;ENSG00000101343;ENSG00000100410;ENSG00000167088;ENSG00000130520;ENSG00000116752;ENSG00000116350;ENSG00000133226;ENSG00000136875;ENSG00000131051;ENSG00000176046	1	1	-	KEGG:03040	-
M1	string	0.6	network_modules	3	TRUE	1.3411093726510332e-80	158	84	51	0.6071428571428571	0.3227848101265823	GO:0140053	GO:BP	mitochondrial gene expression	16175	19653		0	0.03333333333333333	158	16017	51	33	107	15984	16175	0.4388540458214597	1	GO:0016070;GO:0006412;GO:0050789	ENSG00000132591;ENSG00000102738;ENSG00000050393;ENSG00000061794;ENSG00000181991;ENSG00000155906;ENSG00000006744;ENSG00000172171;ENSG00000215251;ENSG00000164347;ENSG00000085760;ENSG00000196365;ENSG00000137133;ENSG00000144029;ENSG00000119673;ENSG00000181610;ENSG00000163319;ENSG00000108064;ENSG00000168924;ENSG00000171861;ENSG00000118246;ENSG00000182810;ENSG00000125445;ENSG00000244005;ENSG00000175110;ENSG00000156502;ENSG00000023330;ENSG00000104980;ENSG00000074582;ENSG00000115419;ENSG00000101181;ENSG00000103707;ENSG00000123297;ENSG00000139428;ENSG00000120333;ENSG00000182180;ENSG00000081177;ENSG00000108179;ENSG00000136463;ENSG00000048544;ENSG00000239789;ENSG00000116898;ENSG00000122033;ENSG00000067704;ENSG00000125901;ENSG00000123472;ENSG00000164182;ENSG00000148672;ENSG00000113048;ENSG00000103202;ENSG00000102763;ENSG00000131368;ENSG00000144381;ENSG00000168827;ENSG00000062485;ENSG00000124279;ENSG00000148187;ENSG00000183010;ENSG00000119689;ENSG00000156026;ENSG00000119705;ENSG00000243927;ENSG00000099821;ENSG00000175756;ENSG00000172586;ENSG00000138095;ENSG00000147586;ENSG00000132153;ENSG00000105379;ENSG00000062582;ENSG00000156469;ENSG00000160194;ENSG00000120662;ENSG00000135972;ENSG00000174173;ENSG00000140374;ENSG00000122140;ENSG00000074071;ENSG00000148824;ENSG00000036473;ENSG00000132676;ENSG00000182199;ENSG00000137500;ENSG00000132463;ENSG00000090263;ENSG00000148090;ENSG00000132300;ENSG00000165526;ENSG00000138035	1	1	GO:0140053	-	-
M1	string	0.6	network_modules	3	TRUE	3.329178170165147e-53	93	72	35	0.4861111111111111	0.3763440860215054	REAC:R-HSA-5368287	REAC	Mitochondrial translation	10916	1473		0.06896551724137931	0.1	93	10823	35	37	58	10786	10916	0.4234248206754861	3	GO:0016070;GO:0006412;GO:0050789	ENSG00000132591;ENSG00000102738;ENSG00000050393;ENSG00000061794;ENSG00000181991;ENSG00000155906;ENSG00000006744;ENSG00000172171;ENSG00000215251;ENSG00000164347;ENSG00000085760;ENSG00000196365;ENSG00000137133;ENSG00000144029;ENSG00000119673;ENSG00000181610;ENSG00000163319;ENSG00000108064;ENSG00000168924;ENSG00000171861;ENSG00000118246;ENSG00000182810;ENSG00000125445;ENSG00000244005;ENSG00000175110;ENSG00000156502;ENSG00000023330;ENSG00000104980;ENSG00000074582;ENSG00000115419;ENSG00000101181;ENSG00000103707;ENSG00000123297;ENSG00000139428;ENSG00000120333;ENSG00000182180;ENSG00000081177;ENSG00000108179;ENSG00000136463;ENSG00000048544;ENSG00000239789;ENSG00000116898;ENSG00000122033;ENSG00000067704;ENSG00000125901;ENSG00000123472;ENSG00000164182;ENSG00000148672;ENSG00000113048;ENSG00000103202;ENSG00000102763;ENSG00000131368;ENSG00000144381;ENSG00000168827;ENSG00000062485;ENSG00000124279;ENSG00000148187;ENSG00000183010;ENSG00000119689;ENSG00000156026;ENSG00000119705;ENSG00000243927;ENSG00000099821;ENSG00000175756;ENSG00000172586;ENSG00000138095;ENSG00000147586;ENSG00000132153;ENSG00000105379;ENSG00000062582;ENSG00000156469;ENSG00000160194;ENSG00000120662;ENSG00000135972;ENSG00000174173;ENSG00000140374;ENSG00000122140;ENSG00000074071;ENSG00000148824;ENSG00000036473;ENSG00000132676;ENSG00000182199;ENSG00000137500;ENSG00000132463;ENSG00000090263;ENSG00000148090;ENSG00000132300;ENSG00000165526;ENSG00000138035	1	1	-	-	REAC:R-HSA-5368287
M1	string	0.6	network_modules	4	TRUE	8.463528731265103e-35	104	82	26	0.3170731707317073	0.25	GO:0000045	GO:BP	autophagosome assembly	16175	17		0.07142857142857142	0.08771929824561403	104	16071	26	56	78	16015	16175	0.2774321923844078	5	GO:0006914;GO:0022607;GO:0022411;GO:0050789;GO:0007033;GO:0050896	ENSG00000078142;ENSG00000196455;ENSG00000161011;ENSG00000057663;ENSG00000145782;ENSG00000197548;ENSG00000152348;ENSG00000188554;ENSG00000104375;ENSG00000151748;ENSG00000101109;ENSG00000198369;ENSG00000079999;ENSG00000157625;ENSG00000123240;ENSG00000034713;ENSG00000023287;ENSG00000083290;ENSG00000175224;ENSG00000145016;ENSG00000167965;ENSG00000106052;ENSG00000126775;ENSG00000157954;ENSG00000205356;ENSG00000144848;ENSG00000101844;ENSG00000101460;ENSG00000170296;ENSG00000068028;ENSG00000168397;ENSG00000177169;ENSG00000078804;ENSG00000175183;ENSG00000148572;ENSG00000139112;ENSG00000123395;ENSG00000163625;ENSG00000197769;ENSG00000085382;ENSG00000128710;ENSG00000266094;ENSG00000147894;ENSG00000110811;ENSG00000173542;ENSG00000121749;ENSG00000168010;ENSG00000101265;ENSG00000153179;ENSG00000104946;ENSG00000265491;ENSG00000230989;ENSG00000178078;ENSG00000164253;ENSG00000154153;ENSG00000130748;ENSG00000184979;ENSG00000111728;ENSG00000171617;ENSG00000075399;ENSG00000163820;ENSG00000107551;ENSG00000172007;ENSG00000011454;ENSG00000124243;ENSG00000172403;ENSG00000111790;ENSG00000254986;ENSG00000087157;ENSG00000080546;ENSG00000237693;ENSG00000130479;ENSG00000118997;ENSG00000135966;ENSG00000060140;ENSG00000122824;ENSG00000171763;ENSG00000103150;ENSG00000213934;ENSG00000276600;ENSG00000274145;ENSG00000130734;ENSG00000181915;ENSG00000197472;ENSG00000174885;ENSG00000066739	4	1	GO:0000045	-	-
M1	string	0.6	network_modules	4	TRUE	3.177929840341895e-32	32	62	19	0.3064516129032258	0.59375	KEGG:04136	KEGG	Autophagy - other	8484	273		0.10714285714285714	0.12280701754385964	32	8452	19	43	13	8409	8484	0.42366013599939567	7	GO:0006914;GO:0022607;GO:0022411;GO:0050789;GO:0007033;GO:0050896	ENSG00000078142;ENSG00000196455;ENSG00000161011;ENSG00000057663;ENSG00000145782;ENSG00000197548;ENSG00000152348;ENSG00000188554;ENSG00000104375;ENSG00000151748;ENSG00000101109;ENSG00000198369;ENSG00000079999;ENSG00000157625;ENSG00000123240;ENSG00000034713;ENSG00000023287;ENSG00000083290;ENSG00000175224;ENSG00000145016;ENSG00000167965;ENSG00000106052;ENSG00000126775;ENSG00000157954;ENSG00000205356;ENSG00000144848;ENSG00000101844;ENSG00000101460;ENSG00000170296;ENSG00000068028;ENSG00000168397;ENSG00000177169;ENSG00000078804;ENSG00000175183;ENSG00000148572;ENSG00000139112;ENSG00000123395;ENSG00000163625;ENSG00000197769;ENSG00000085382;ENSG00000128710;ENSG00000266094;ENSG00000147894;ENSG00000110811;ENSG00000173542;ENSG00000121749;ENSG00000168010;ENSG00000101265;ENSG00000153179;ENSG00000104946;ENSG00000265491;ENSG00000230989;ENSG00000178078;ENSG00000164253;ENSG00000154153;ENSG00000130748;ENSG00000184979;ENSG00000111728;ENSG00000171617;ENSG00000075399;ENSG00000163820;ENSG00000107551;ENSG00000172007;ENSG00000011454;ENSG00000124243;ENSG00000172403;ENSG00000111790;ENSG00000254986;ENSG00000087157;ENSG00000080546;ENSG00000237693;ENSG00000130479;ENSG00000118997;ENSG00000135966;ENSG00000060140;ENSG00000122824;ENSG00000171763;ENSG00000103150;ENSG00000213934;ENSG00000276600;ENSG00000274145;ENSG00000130734;ENSG00000181915;ENSG00000197472;ENSG00000174885;ENSG00000066739	2	1	-	KEGG:04136	-
